area,area_title,prim_state,occ_code,occ_title,o_group,tot_emp,emp_prse,jobs_1000,loc_quotient,h_mean,a_mean,mean_prse,h_pct25,h_median,h_pct75,a_pct25,a_median,a_pct75
10,Delaware,DE,11-0000,Management Occupations,major,22890,1.5,48.782,0.71,76.65,159440,1.4,49.21,67.33,91.44,102360,140050,190200
11,District of Columbia,DC,11-0000,Management Occupations,major,101680,1,144.872,2.1,83.03,172710,0.9,60.34,77.55,88.22,125510,161300,183500
12,Florida,FL,11-0000,Management Occupations,major,601150,0.9,62.827,0.91,62.44,129870,0.7,34.38,50.08,76.94,71510,104170,160020
13,Georgia,GA,11-0000,Management Occupations,major,304430,1.1,63.985,0.93,64.69,134550,0.8,36.41,53.3,80.07,75730,110870,166550
15,Hawaii,HI,11-0000,Management Occupations,major,39790,1.1,64.493,0.93,58.2,121050,0.8,38.46,51.21,68.46,80000,106520,142400
16,Idaho,ID,11-0000,Management Occupations,major,62970,1.1,76.538,1.11,49,101920,1,27.2,39.55,59.57,56580,82260,123900
17,Illinois,IL,11-0000,Management Occupations,major,535650,0.7,89.101,1.29,65.06,135320,0.6,38.02,56.31,80.15,79070,117130,166710
18,Indiana,IN,11-0000,Management Occupations,major,161640,0.7,51.205,0.74,56.74,118010,0.8,34.26,48.42,67.31,71270,100710,140000
19,Iowa,IA,11-0000,Management Occupations,major,99710,0.6,64.545,0.93,52.12,108400,0.5,30.93,45.72,63.75,64330,95090,132600
20,Kansas,KS,11-0000,Management Occupations,major,72160,1.2,51.104,0.74,57.69,119990,0.7,35.14,49.47,70.32,73100,102890,146260
21,Kentucky,KY,11-0000,Management Occupations,major,116200,1.4,59.192,0.86,50.95,105980,1.1,29.5,43.86,62.08,61360,91230,129120
22,Louisiana,LA,11-0000,Management Occupations,major,114790,0.9,61.985,0.9,54.93,114250,0.6,34.02,47.21,64.13,70760,98200,133390
23,Maine,ME,11-0000,Management Occupations,major,43000,3.4,69.161,1,55.62,115690,2.1,34.34,47.98,66.44,71430,99790,138200
24,Maryland,MD,11-0000,Management Occupations,major,244320,0.8,91.252,1.32,66.34,137990,0.7,39.63,60.09,81.65,82420,124990,169830
25,Massachusetts,MA,11-0000,Management Occupations,major,345350,1.3,94.786,1.37,77.15,160460,0.6,46.33,65.59,97.1,96360,136430,201970
26,Michigan,MI,11-0000,Management Occupations,major,277450,0.8,63.812,0.92,59.78,124330,0.7,36.65,51.08,74.9,76220,106250,155790
27,Minnesota,MN,11-0000,Management Occupations,major,201710,0.7,70.01,1.01,64.47,134100,0.7,38.05,56.38,80.3,79140,117260,167030
28,Mississippi,MS,11-0000,Management Occupations,major,57060,1,49.616,0.72,46.42,96560,1,27.75,38.91,55.04,57730,80930,114480
29,Missouri,MO,11-0000,Management Occupations,major,195600,1.1,68,0.98,52.62,109450,1.2,28.95,44.31,64.51,60220,92160,134180
30,Montana,MT,11-0000,Management Occupations,major,28350,1.3,56.505,0.82,51.67,107470,1.1,30.28,45.12,62.5,62980,93850,130000
31,Nebraska,NE,11-0000,Management Occupations,major,72910,1,72.852,1.05,54.96,114320,0.9,33.89,48.42,65.32,70480,100710,135870
32,Nevada,NV,11-0000,Management Occupations,major,115160,1.4,77.717,1.12,57.65,119910,3,30.16,45.04,65.34,62740,93670,135900
33,New Hampshire,NH,11-0000,Management Occupations,major,48580,0.9,71.958,1.04,67.81,141050,0.8,39.51,58,81.81,82180,120650,170160
34,New Jersey,NJ,11-0000,Management Occupations,major,297540,0.8,70.807,1.02,83.86,174430,0.6,53.95,77.12,101.2,112210,160410,210490
35,New Mexico,NM,11-0000,Management Occupations,major,46340,1.4,54.804,0.79,56.91,118370,1,36.59,48.93,65.53,76110,101770,136300
36,New York,NY,11-0000,Management Occupations,major,611690,0.8,65.123,0.94,86.07,179030,0.7,48.07,73.33,104.84,99990,152520,218070
37,North Carolina,NC,11-0000,Management Occupations,major,291430,0.8,60.777,0.88,63.95,133010,0.5,37.82,53.22,78.96,78670,110700,164240
38,North Dakota,ND,11-0000,Management Occupations,major,24400,1.5,58.453,0.85,55.21,114830,1.9,32.79,47,64.92,68190,97760,135030
39,Ohio,OH,11-0000,Management Occupations,major,364650,0.5,66.674,0.96,56.89,118330,0.6,32.02,48.38,69.46,66610,100640,144480
40,Oklahoma,OK,11-0000,Management Occupations,major,93310,0.9,56.068,0.81,52.36,108920,0.9,29.55,44.75,63.69,61460,93080,132480
41,Oregon,OR,11-0000,Management Occupations,major,139440,0.8,71.76,1.04,59.96,124720,0.6,36.12,51.31,74.23,75130,106730,154400
42,Pennsylvania,PA,11-0000,Management Occupations,major,403290,0.9,67.797,0.98,63.3,131660,1.2,37.79,53.51,78.02,78600,111290,162280
44,Rhode Island,RI,11-0000,Management Occupations,major,23210,2.2,47.53,0.69,67.52,140440,1.4,43.59,59.97,81.47,90660,124730,169460
45,South Carolina,SC,11-0000,Management Occupations,major,131290,0.7,59.06,0.85,55.89,116250,0.5,34.54,48.33,67.23,71840,100520,139850
46,South Dakota,SD,11-0000,Management Occupations,major,15720,2.5,35.382,0.51,59.84,124480,1.1,36.75,50.15,70.56,76430,104310,146760
47,Tennessee,TN,11-0000,Management Occupations,major,218500,0.8,67.878,0.98,58.82,122340,0.6,34.21,49.13,72.19,71170,102180,150140
48,Texas,TX,11-0000,Management Occupations,major,1124950,1.1,82.973,1.2,61.61,128150,0.7,35.13,50.56,77.65,73070,105170,161510
49,Utah,UT,11-0000,Management Occupations,major,130640,0.9,77.826,1.13,57.45,119490,1.2,31.58,48.8,72.26,65680,101510,150300
50,Vermont,VT,11-0000,Management Occupations,major,23490,1.2,78.116,1.13,54.7,113770,1.5,35.35,46.65,63.65,73530,97030,132400
51,Virginia,VA,11-0000,Management Occupations,major,245040,1,61.551,0.89,71.71,149150,0.5,43.37,63.64,86.65,90220,132380,180230
53,Washington,WA,11-0000,Management Occupations,major,193830,1.2,55.452,0.8,77.73,161680,0.6,49.95,68.45,94.68,103890,142380,196940
54,West Virginia,WV,11-0000,Management Occupations,major,40150,1.3,58.301,0.84,49.54,103030,0.7,28.32,40.14,61.54,58900,83500,128010
55,Wisconsin,WI,11-0000,Management Occupations,major,134700,0.6,46.675,0.68,63.67,132440,0.5,40.03,55.69,76.87,83260,115820,159890
56,Wyoming,WY,11-0000,Management Occupations,major,14830,1.4,54.168,0.78,53.25,110760,1.4,30.2,45.62,63.69,62810,94890,132470
1,Alabama,AL,11-3021,Computer and Information Systems Managers,detailed,5800,4.5,2.827,0.72,67.92,141270,1.4,50.07,63.86,81.57,104150,132840,169670
2,Alaska,AK,11-3021,Computer and Information Systems Managers,detailed,640,4.5,2.045,0.52,65.87,137010,1.7,50.75,64.23,78.35,105560,133600,162970
4,Arizona,AZ,11-3021,Computer and Information Systems Managers,detailed,14180,4.5,4.531,1.16,78.8,163900,1,59.48,78.48,89.71,123720,163230,186600
5,Arkansas,AR,11-3021,Computer and Information Systems Managers,detailed,3230,3.4,2.54,0.65,59.2,123130,1.2,40.46,54.47,72.21,84160,113290,150200
6,California,CA,11-3021,Computer and Information Systems Managers,detailed,98430,1.5,5.485,1.41,104.34,217030,0.7,79.84,101.2,#,166070,210490,#
8,Colorado,CO,11-3021,Computer and Information Systems Managers,detailed,12080,13.3,4.267,1.09,88.71,184520,5.3,67.39,83.19,103.2,140170,173030,214660
9,Connecticut,CT,11-3021,Computer and Information Systems Managers,detailed,9950,2.5,5.992,1.54,78.58,163450,1.2,60.42,76.87,91.07,125670,159880,189420
10,Delaware,DE,11-3021,Computer and Information Systems Managers,detailed,1670,3.6,3.553,0.91,94.53,196630,0.7,77.36,88.55,106.81,160910,184190,222160
11,District of Columbia,DC,11-3021,Computer and Information Systems Managers,detailed,4550,3.5,6.478,1.66,90.97,189220,1.4,76.88,87.33,98.81,159910,181650,205510
12,Florida,FL,11-3021,Computer and Information Systems Managers,detailed,27110,2.8,2.834,0.73,79.06,164440,1.1,58.55,76.14,89.66,121780,158380,186490
13,Georgia,GA,11-3021,Computer and Information Systems Managers,detailed,15350,2.6,3.227,0.83,83.99,174710,0.6,63.46,80.64,100.22,132000,167740,208460
15,Hawaii,HI,11-3021,Computer and Information Systems Managers,detailed,1040,5.3,1.68,0.43,69.89,145370,1.4,55.48,63.91,80,115390,132940,166400
16,Idaho,ID,11-3021,Computer and Information Systems Managers,detailed,1420,5.9,1.729,0.44,64.26,133660,2.8,44.93,63.03,80.26,93450,131100,166940
17,Illinois,IL,11-3021,Computer and Information Systems Managers,detailed,26940,2,4.481,1.15,78.81,163930,0.8,60.94,78.96,94.81,126740,164240,197210
18,Indiana,IN,11-3021,Computer and Information Systems Managers,detailed,7200,3.1,2.279,0.58,67.1,139580,1,49.68,63.47,78.73,103330,132020,163750
19,Iowa,IA,11-3021,Computer and Information Systems Managers,detailed,3560,2.4,2.306,0.59,69.1,143730,0.9,52.61,64.54,80.58,109420,134240,167610
20,Kansas,KS,11-3021,Computer and Information Systems Managers,detailed,3810,3,2.697,0.69,81.16,168810,4.8,58.77,78.2,97.5,122230,162660,202800
21,Kentucky,KY,11-3021,Computer and Information Systems Managers,detailed,2540,3.5,1.296,0.33,65.2,135610,1.9,48.11,61.71,78.17,100070,128350,162590
22,Louisiana,LA,11-3021,Computer and Information Systems Managers,detailed,2300,4,1.244,0.32,69.66,144880,1.6,45.86,58.61,77.84,95380,121910,161920
23,Maine,ME,11-3021,Computer and Information Systems Managers,detailed,1450,7.9,2.328,0.6,75.32,156660,5.4,52.47,66.99,85.74,109140,139330,178340
24,Maryland,MD,11-3021,Computer and Information Systems Managers,detailed,13570,3.2,5.068,1.3,81.85,170240,1.1,65.98,81.65,95.24,137240,169830,198100
25,Massachusetts,MA,11-3021,Computer and Information Systems Managers,detailed,25030,2.9,6.871,1.76,92.19,191750,1.1,73.49,84.22,104.12,152870,175170,216570
26,Michigan,MI,11-3021,Computer and Information Systems Managers,detailed,14770,3.4,3.397,0.87,75.16,156340,0.9,58.03,72.5,84.37,120700,150800,175500
27,Minnesota,MN,11-3021,Computer and Information Systems Managers,detailed,10450,2,3.626,0.93,83.29,173230,0.8,64.17,81.3,99.01,133470,169100,205940
28,Mississippi,MS,11-3021,Computer and Information Systems Managers,detailed,1340,12.2,1.162,0.3,57.75,120120,2.4,42.3,51.29,67.25,87980,106690,139880
29,Missouri,MO,11-3021,Computer and Information Systems Managers,detailed,7960,3,2.769,0.71,69.89,145360,1.1,50.66,65.45,82.61,105360,136130,171830
30,Montana,MT,11-3021,Computer and Information Systems Managers,detailed,1060,9.4,2.104,0.54,*,*,*,*,*,*,*,*,*
31,Nebraska,NE,11-3021,Computer and Information Systems Managers,detailed,5030,3.7,5.029,1.29,65.61,136460,2.1,50.15,63.78,79.06,104310,132660,164440
32,Nevada,NV,11-3021,Computer and Information Systems Managers,detailed,2720,6.3,1.835,0.47,68.34,142150,2.4,46.35,61.72,79.49,96410,128380,165350
33,New Hampshire,NH,11-3021,Computer and Information Systems Managers,detailed,3260,4.3,4.836,1.24,81.8,170140,1.2,63.51,78.71,97.13,132090,163720,202030
34,New Jersey,NJ,11-3021,Computer and Information Systems Managers,detailed,27890,2.4,6.638,1.7,98.62,205120,0.9,79.93,92.04,107.25,166260,191450,223070
35,New Mexico,NM,11-3021,Computer and Information Systems Managers,detailed,1430,4.9,1.69,0.43,67.57,140550,1.9,49.96,61.89,81.32,103930,128730,169140
36,New York,NY,11-3021,Computer and Information Systems Managers,detailed,39190,1.6,4.173,1.07,102.85,213930,1,77.85,99.52,#,161920,207000,#
37,North Carolina,NC,11-3021,Computer and Information Systems Managers,detailed,21660,1.8,4.516,1.16,84.72,176210,1.9,62.72,78.95,97.84,130450,164210,203500
38,North Dakota,ND,11-3021,Computer and Information Systems Managers,detailed,640,4.3,1.527,0.39,65.97,137220,2.3,49.5,63.49,76.15,102950,132060,158400
39,Ohio,OH,11-3021,Computer and Information Systems Managers,detailed,13670,2.3,2.499,0.64,79.24,164820,1.2,61.02,78.02,98.37,126920,162280,204610
40,Oklahoma,OK,11-3021,Computer and Information Systems Managers,detailed,3390,5,2.035,0.52,65.15,135510,1.6,47.25,62.43,77.81,98280,129850,161840
41,Oregon,OR,11-3021,Computer and Information Systems Managers,detailed,7160,3.8,3.682,0.94,77.9,162040,1.1,60.23,75.47,92.41,125270,156980,192210
42,Pennsylvania,PA,11-3021,Computer and Information Systems Managers,detailed,20480,3.3,3.443,0.88,76.79,159730,0.9,58.36,74.66,87.26,121390,155290,181490
44,Rhode Island,RI,11-3021,Computer and Information Systems Managers,detailed,860,7.6,1.752,0.45,91.1,189490,1.5,66.46,82.08,100.51,138230,170730,209060
45,South Carolina,SC,11-3021,Computer and Information Systems Managers,detailed,4910,2.4,2.208,0.57,72.07,149900,1.6,50.18,64.73,83.69,104380,134630,174080
46,South Dakota,SD,11-3021,Computer and Information Systems Managers,detailed,280,5.9,0.626,0.16,78.93,164170,2.8,63.49,77.62,93.85,132050,161460,195210
47,Tennessee,TN,11-3021,Computer and Information Systems Managers,detailed,10470,2.8,3.251,0.83,71.73,149200,1,51.59,65.26,81.17,107300,135730,168830
48,Texas,TX,11-3021,Computer and Information Systems Managers,detailed,62620,1.7,4.619,1.18,81.68,169900,0.8,61.89,79.25,99.24,128720,164840,206420
49,Utah,UT,11-3021,Computer and Information Systems Managers,detailed,7400,4.6,4.406,1.13,78.49,163260,1.5,60.47,79.17,86.96,125770,164670,180880
50,Vermont,VT,11-3021,Computer and Information Systems Managers,detailed,780,10,2.584,0.66,75.17,156360,2.6,47.11,61.86,86.37,97990,128660,179650
51,Virginia,VA,11-3021,Computer and Information Systems Managers,detailed,16460,5.4,4.134,1.06,93.38,194230,0.8,73.07,87.33,107.96,151990,181650,224550
53,Washington,WA,11-3021,Computer and Information Systems Managers,detailed,16680,5.3,4.773,1.22,99.71,207390,0.9,77.15,97.21,#,160460,202190,#
54,West Virginia,WV,11-3021,Computer and Information Systems Managers,detailed,1110,8.5,1.612,0.41,72.64,151090,2.8,58.72,69.91,88.22,122140,145420,183500
55,Wisconsin,WI,11-3021,Computer and Information Systems Managers,detailed,6790,2.7,2.352,0.6,74.78,155530,0.9,58.87,69.02,82.91,122450,143570,172440
56,Wyoming,WY,11-3021,Computer and Information Systems Managers,detailed,310,4.8,1.141,0.29,57.23,119030,3.8,43.77,51.81,64.59,91050,107750,134350
1,Alabama,AL,13-0000,Business and Financial Operations Occupations,major,105480,0.8,51.376,0.77,38.76,80620,0.6,24.97,34.39,47.16,51940,71540,98090
2,Alaska,AK,13-0000,Business and Financial Operations Occupations,major,13570,1.6,43.557,0.66,41.82,86980,1,30.15,38.22,49.21,62710,79500,102360
4,Arizona,AZ,13-0000,Business and Financial Operations Occupations,major,218120,1.3,69.694,1.05,39.6,82360,0.9,26.77,35.98,47.92,55670,74840,99670
5,Arkansas,AR,13-0000,Business and Financial Operations Occupations,major,66820,1.6,52.561,0.79,34.62,72000,1.4,21.82,29.96,40.76,45380,62310,84780
6,California,CA,13-0000,Business and Financial Operations Occupations,major,1210190,0.5,67.435,1.02,48.75,101390,0.4,31.09,42.25,59.75,64660,87880,124290
8,Colorado,CO,13-0000,Business and Financial Operations Occupations,major,257400,0.7,90.889,1.37,44.72,93010,0.9,30.36,39.73,52.45,63150,82640,109100
9,Connecticut,CT,13-0000,Business and Financial Operations Occupations,major,101640,1.2,61.219,0.92,46.23,96150,0.8,31.41,40.15,52.74,65320,83510,109700
10,Delaware,DE,13-0000,Business and Financial Operations Occupations,major,38530,1.1,82.112,1.24,45.55,94750,1.1,30.99,39.87,52.29,64460,82930,108750
11,District of Columbia,DC,13-0000,Business and Financial Operations Occupations,major,113680,1.1,161.97,2.44,52.97,110180,0.5,37.78,49.69,63.58,78580,103360,132250
12,Florida,FL,13-0000,Business and Financial Operations Occupations,major,681820,0.6,71.259,1.07,40.39,84010,0.6,25.13,35.83,48.47,52270,74520,100820
13,Georgia,GA,13-0000,Business and Financial Operations Occupations,major,375370,1.5,78.894,1.19,41.37,86060,0.6,26.14,36.68,49.43,54360,76300,102800
15,Hawaii,HI,13-0000,Business and Financial Operations Occupations,major,29110,1.6,47.181,0.71,38.47,80020,0.9,28.23,35.47,45.85,58710,73770,95370
16,Idaho,ID,13-0000,Business and Financial Operations Occupations,major,42000,1.9,51.053,0.77,36.06,75000,1.1,23.88,30.76,41.86,49670,63980,87070
17,Illinois,IL,13-0000,Business and Financial Operations Occupations,major,390300,2.4,64.924,0.98,43.73,90950,1,28.79,37.89,50.11,59880,78810,104220
18,Indiana,IN,13-0000,Business and Financial Operations Occupations,major,150610,1.1,47.712,0.72,37.58,78170,0.8,24.63,32.91,44.89,51230,68460,93360
19,Iowa,IA,13-0000,Business and Financial Operations Occupations,major,89850,1.4,58.162,0.88,37.2,77370,0.4,26.23,33.88,44.75,54550,70470,93070
20,Kansas,KS,13-0000,Business and Financial Operations Occupations,major,87910,1,62.261,0.94,38.25,79550,1.4,25.45,33.88,45.5,52930,70480,94650
21,Kentucky,KY,13-0000,Business and Financial Operations Occupations,major,87220,1.4,44.433,0.67,35.27,73360,0.9,23.99,31.25,41.18,49910,65000,85650
22,Louisiana,LA,13-0000,Business and Financial Operations Occupations,major,80470,1.3,43.451,0.65,35.34,73510,0.8,23.38,30.52,41.14,48630,63490,85570
23,Maine,ME,13-0000,Business and Financial Operations Occupations,major,32130,1.3,51.68,0.78,39.71,82600,1.5,27.71,35.73,45.47,57640,74320,94580
24,Maryland,MD,13-0000,Business and Financial Operations Occupations,major,225210,1,84.114,1.27,47.2,98170,0.8,31.54,42.82,57.86,65600,89070,120350
25,Massachusetts,MA,13-0000,Business and Financial Operations Occupations,major,283580,1.6,77.832,1.17,48.93,101770,0.9,32.66,43.18,58.6,67940,89800,121890
26,Michigan,MI,13-0000,Business and Financial Operations Occupations,major,262490,0.6,60.371,0.91,39.3,81750,0.4,27.16,36.1,47.27,56490,75080,98330
27,Minnesota,MN,13-0000,Business and Financial Operations Occupations,major,202700,0.7,70.354,1.06,43.04,89510,0.9,30.02,38.33,49.88,62440,79720,103740
28,Mississippi,MS,13-0000,Business and Financial Operations Occupations,major,44670,1,38.847,0.58,33.65,70000,1.8,21.65,29.1,39.22,45030,60530,81570
29,Missouri,MO,13-0000,Business and Financial Operations Occupations,major,179170,1.5,62.29,0.94,38.97,81060,0.8,24.98,33.7,46.96,51950,70100,97670
30,Montana,MT,13-0000,Business and Financial Operations Occupations,major,27680,1.8,55.163,0.83,35.6,74040,0.8,24.45,30.91,41.14,50850,64290,85570
31,Nebraska,NE,13-0000,Business and Financial Operations Occupations,major,59000,1.1,58.953,0.89,35.73,74320,0.7,25.05,31.81,41.27,52100,66170,85840
32,Nevada,NV,13-0000,Business and Financial Operations Occupations,major,68730,1.7,46.382,0.7,43.5,90470,2.2,24.3,33.79,46.48,50550,70290,96680
33,New Hampshire,NH,13-0000,Business and Financial Operations Occupations,major,44270,2.1,65.565,0.99,40.78,84810,2.5,28.15,37.24,48.56,58560,77460,101000
34,New Jersey,NJ,13-0000,Business and Financial Operations Occupations,major,281180,0.8,66.913,1.01,50.52,105080,0.9,35.31,45.61,59.44,73440,94860,123620
35,New Mexico,NM,13-0000,Business and Financial Operations Occupations,major,44540,0.9,52.675,0.79,37.68,78380,0.7,25.77,33.54,45.2,53600,69760,94020
36,New York,NY,13-0000,Business and Financial Operations Occupations,major,710180,0.7,75.609,1.14,53.43,111140,1,33.66,46.85,63.48,70010,97440,132040
37,North Carolina,NC,13-0000,Business and Financial Operations Occupations,major,323970,0.7,67.563,1.02,42.03,87410,0.7,28.01,37.23,50,58250,77430,104000
38,North Dakota,ND,13-0000,Business and Financial Operations Occupations,major,19860,1.3,47.561,0.72,37.23,77440,1.6,27.01,33.33,44.35,56170,69330,92240
39,Ohio,OH,13-0000,Business and Financial Operations Occupations,major,340550,1,62.267,0.94,38.8,80700,0.6,27,35.95,47.2,56160,74780,98170
